ano;Chuva_Acumulada
1786;722.2
1787;625.1
1788;728.8000000000001
1789;342.5
1790;855.6999999999999
1791;591.3
1792;291.8
1793;736.5
1794;653.5999999999999
1795;556.1
1796;623.6999999999999
1797;555.5000000000001
1798;496.19999999999993
1799;506.5
1800;602.4
1801;736.6
1802;524.6999999999999
1803;557.9000000000001
1804;640.0
1805;597.8
1806;541.8
1807;505.59999999999997
1808;668.5
1809;402.5
1810;667.4000000000001
1811;729.0
1812;317.7
1813;285.3
1814;584.0
1815;421.49999999999994
1816;325.0
1817;215.60000000000002
1818;506.2
1819;630.0
1820;719.2
1821;501.2
1822;280.5
1823;239.40000000000003
1824;292.8
1825;510.70000000000005
1826;711.6
1827;454.09999999999997
1828;342.3
1829;500.1
1830;397.8
1831;555.6
1832;496.70000000000005
1833;546.6
1834;439.6
1835;294.6
1836;392.40000000000003
1837;421.9
1838;597.0
1839;472.6
1840;555.6
1841;561.5
1842;644.9000000000001
1843;722.9999999999999
1844;768.0
1845;649.0
1846;651.0
1847;556.1
1848;659.1999999999999
1849;679.3000000000001
1850;441.29999999999995
1851;544.1
1852;584.1
1853;858.6
1854;435.9
1855;620.0
1856;836.5
1857;838.6
1858;568.4
1859;559.8
1860;572.9999999999999
1861;625.9000000000001
1862;774.9000000000001
1863;475.79999999999995
1864;566.1
1865;541.3
1866;580.2
1867;352.59999999999997
1868;482.3
1869;386.19999999999993
1870;593.1999999999999
1871;689.4
1872;980.0
1873;452.7
1874;612.5
1875;927.4
1876;733.4
1877;360.99999999999994
1878;329.2
1879;717.3999999999999
1880;513.4
1881;571.7
1882;687.7
1883;542.8
1884;696.4
1885;536.3000000000001
1886;373.7
1887;546.6999999999999
1888;599.3
1889;605.3000000000001
1890;699.4
1891;757.8
1892;562.9
1893;497.6
1894;625.1999999999999
1895;546.0
1896;622.3
1897;735.1
1898;683.6999999999999
1899;598.8
1900;604.4
1901;1030.6
1902;661.6999999999999
1903;468.4
1904;448.00000000000006
1905;525.9000000000001
1906;674.1000000000001
1907;818.5
1908;626.0
1909;547.9
1910;552.6
1911;506.29999999999995
1912;447.30000000000007
1913;610.2999999999998
1914;740.0
1915;640.9000000000001
1916;549.4
1917;647.8000000000001
1918;694.8
1919;489.3
1920;680.2
1921;886.3
1922;550.6999999999999
1923;613.1999999999999
1924;443.79999999999995
1925;637.3
1926;662.9
1927;555.6999999999999
1928;748.6999999999999
1929;446.09999999999997
1930;541.4
1931;636.9
1932;801.9
1933;711.5000000000002
1934;517.0
1935;518.2
1936;690.1000000000001
1937;403.20000000000005
1938;529.8
1939;674.4
1940;483.8
1941;585.0999999999999
1942;621.5
1943;867.8000000000002
1944;745.9000000000001
1945;445.9
1946;618.6999999999999
1947;443.59999999999997
1948;629.2
1949;449.30000000000007
1950;479.69999999999993
1951;964.6999999999999
1952;421.8
1953;593.1
1954;579.9000000000001
1955;546.9000000000001
1956;513.9
1957;513.9000000000001
1958;465.9
1959;963.8
1960;582.7
1961;417.0999999999999
1962;838.9999999999999
1963;790.8
1964;481.90000000000003
1965;586.0
1966;563.1
1967;570.3
1968;578.1
1969;763.4999999999999
1970;488.09999999999997
1971;1122.7
1972;795.5000000000001
1973;456.59999999999997
1974;559.2
1975;549.4
1976;708.8
1977;815.8999999999999
1978;504.9
1979;763.8999999999999
1980;538.9
1981;508.3
1982;713.9
1983;678.7
1984;669.6999999999999
1985;463.9
1986;585.5000000000001
1987;982.3000000000001
1988;661.4000000000001
1989;499.2
1990;598.1
1991;819.3000000000001
1992;595.2999999999998
1993;676.6
1994;745.7
1995;504.1
1996;982.4
1997;571.9999999999999
1998;485.1
1999;521.4000000000001
2000;469.09999999999997
2001;472.3
2002;963.5
2003;601.3000000000001
2004;588.4
2005;558.4
2006;474.5999999999999
2007;493.59999999999997
2008;599.1
2009;524.3000000000001
2010;720.5999999999999
2011;865.4999999999998
2012;479.70000000000005
2013;580.0
2014;692.4000000000001
2015;345.8
2016;480.20000000000005
2017;518.4
2018;988.0
2019;599.8000000000001
2020;723.5
2021;327.8
2022;307.7
